Lenght Selection Bubble Insertion Quick
300 45150 44850 22219 2504
300 45150 44850 22245 2403
310 48205 47895 23865 2905
310 48205 47895 23534 2732
310 48205 47895 23190 2533
310 48205 47895 23698 2762
310 48205 47895 23086 2550
310 48205 47895 24089 2949
310 48205 47895 23513 2389
310 48205 47895 23660 2630
310 48205 47895 22936 2489
310 48205 47895 23376 2633
310 48205 47895 24095 2877
310 48205 47895 21891 2957
310 48205 47895 23944 2501
310 48205 47895 23895 2543
310 48205 47895 24562 2489
320 51360 51040 25583 2631
320 51360 51040 25742 2908
320 51360 51040 26328 2810
320 51360 51040 25742 2678
320 51360 51040 25500 2770
320 51360 51040 25801 2546
320 51360 51040 26411 3210
320 51360 51040 24899 2543
320 51360 51040 25470 2761
320 51360 51040 26464 2556
320 51360 51040 26449 3364
320 51360 51040 25232 3672
320 51360 51040 24873 2874
320 51360 51040 24991 2783
320 51360 51040 24417 2681
330 54615 54285 28044 3064
330 54615 54285 28168 2831
330 54615 54285 26948 2737
330 54615 54285 26533 3157
330 54615 54285 26934 3393
330 54615 54285 26129 3041
330 54615 54285 29986 3245
330 54615 54285 26150 2993
330 54615 54285 28781 2945
330 54615 54285 27127 2764
330 54615 54285 26714 2774
330 54615 54285 27950 2722
330 54615 54285 28481 2727
330 54615 54285 25776 2845
330 54615 54285 26588 2608
340 57970 57630 30502 3414
340 57970 57630 28352 3169
340 57970 57630 28683 2944
340 57970 57630 30795 2905
340 57970 57630 27661 3057
340 57970 57630 30161 2935
340 57970 57630 28170 2745
340 57970 57630 29147 2880
340 57970 57630 30108 2723
340 57970 57630 29619 2779
340 57970 57630 28064 3373
340 57970 57630 29506 2974
340 57970 57630 28069 3691
340 57970 57630 28562 2728
340 57970 57630 28524 2806
350 61425 61075 30014 2967
350 61425 61075 29337 3768
350 61425 61075 30669 2965
350 61425 61075 30279 2928
350 61425 61075 29122 3146
350 61425 61075 28522 2982
350 61425 61075 30156 3117
350 61425 61075 31308 2917
350 61425 61075 31719 2825
350 61425 61075 32337 2775
350 61425 61075 30436 3445
350 61425 61075 32436 2899
350 61425 61075 31742 3017
350 61425 61075 30847 2906
350 61425 61075 30046 3021
360 64980 64620 33537 3133
360 64980 64620 32501 3064
360 64980 64620 30560 3245
360 64980 64620 31155 3213
360 64980 64620 31921 3164
